id,Random Forest Classification,Classification Tree,AdaBoost,kNN,Classification Tree,Ibra,Rattle Tree,Forrest,Gini Classification Tree,Random Forest Classification,kNN,Classification Tree
50785,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
51630,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional,functional,functional
17168,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,functional,functional needs repair,non functional
45559,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
49871,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
52449,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
24806,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional,functional,non functional,functional needs repair,non functional
28965,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
36301,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
54122,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
419,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
45750,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
653,functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
14017,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
44607,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
40228,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
27714,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
28785,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,non functional,non functional,non functional
28330,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
18532,functional,functional needs repair,functional needs repair,non functional,functional needs repair,non functional,functional,functional,non functional,functional,non functional,functional needs repair
69961,functional,non functional,non functional,non functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
55083,functional,non functional,non functional,functional,non functional,non functional,functional,non functional,functional,functional,functional needs repair,non functional
8691,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
30331,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
70970,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
61136,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
28799,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
46825,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
44718,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
37350,non functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional
65738,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
3271,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
42658,non functional,functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,functional,functional
67523,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
37034,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
42432,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
27420,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
707,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional needs repair,functional,functional needs repair
48489,non functional,non functional,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,non functional
51008,functional,functional,functional needs repair,functional,functional needs repair,non functional,functional,functional needs repair,functional,functional,non functional,functional needs repair
72562,non functional,functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional,functional,non functional
10275,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
53540,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
43291,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional
8813,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
62343,functional,non functional,non functional,non functional,non functional,non functional,functional,functional,functional,functional,non functional,non functional
1649,functional,non functional,non functional,non functional,non functional,functional,functional,non functional,functional,functional,functional,non functional
8822,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,functional,functional needs repair
10352,non functional,functional,non functional,functional,non functional,functional,functional,functional needs repair,functional,functional,non functional,non functional
50878,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
15266,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
